"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-02","10.96",",,W","0.00","T,,X,2400","0.0","T,,X",,,,,"45",",,X","31",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-03","11.18",",,W","0.00",",,X,2400","0.0",",,X",,,,,"39",",,X","25",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-04","11.86",",,W","0.00",",,X,2400","0.0",",,X",,,,,"43",",,X","28",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-05","6.71",",,W","0.00",",,X,2400","0.0",",,X",,,,,"36",",,X","22",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-06","13.65",",,W","0.00",",,X,2400","0.0",",,X",,,,,"50",",,X","28",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-07","10.29",",,W","0.00",",,X,2400","0.0",",,X",,,,,"46",",,X","30",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-08","7.61",",,W","0.00",",,X,2400","0.0",",,X",,,,,"38",",,X","22",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-09","9.40",",,W","0.00",",,X,2400","0.0",",,X",,,,,"47",",,X","30",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-10","11.18",",,W","0.00","T,,X,2400","0.0",",,X",,,,,"50",",,X","30",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-11","10.74",",,W","0.07",",,X,2400","0.0","T,,X",,,,,"39",",,X","30",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,"    1",",,X","    1",",,X",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-12","16.78",",,W","0.00",",,X,2400","0.0",",,X",,,,,"30",",,X","16",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-13","13.87",",,W","0.00","T,,X,2400","0.0","T,,X",,,,,"41",",,X","17",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-14","5.82",",,W","0.00",",,X,2400","0.0",",,X",,,,,"44",",,X","28",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-15","2.24",",,W","0.00","T,,X,2400","0.0",",,X",,,,,"43",",,X","34",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-16","6.26",",,W","0.04",",,X,2400","0.0",",,X",,,,,"45",",,X","35",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-17","10.51",",,W","0.01",",,X,2400","0.0",",,X",,,,,"53",",,X","38",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-18","13.20",",,W","0.00",",,X,2400","0.0",",,X",,,,,"47",",,X","34",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-19","8.50",",,W","0.00",",,X,2400","0.0",",,X",,,,,"46",",,X","31",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-20","11.41",",,W","0.00",",,X,2400","0.0",",,X",,,,,"41",",,X","28",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-21","9.17",",,W","0.00","T,,X,2400","0.0",",,X",,,,,"44",",,X","28",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-22","9.40",",,W","0.00",",,X,2400","0.0",",,X",,,,,"57",",,X","36",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-23","12.30",",,W","0.05",",,X,2400","0.0",",,X",,,,,"55",",,X","41",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-24","7.61",",,W","0.54",",,X,2400","0.0","T,,X",,,,,"42",",,X","36",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,X",,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-25","22.82",",,W","0.00","T,,X,2400","0.0","T,,X",,,,,"45",",,X","33",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-26","15.43",",,W","0.00",",,X,2400","0.0",",,X",,,,,"41",",,X","27",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-27","10.96",",,W","0.00",",,X,2400","0.0",",,X",,,,,"52",",,X","26",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-28","12.75",",,W","0.00",",,X,2400","0.0",",,X",,,,,"48",",,X","34",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-29","8.72",",,W","0.29",",,X,2400","0.9",",,X",,,,,"36",",,X","31",",,X","    1",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,"    1",",,X"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-01","22.37",",,W","0.58",",,X,2400","0.4",",,X",,,,,"37",",,X","25",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-02","8.50",",,W","0.00",",,X,2400","0.0",",,X",,,,,"35",",,X","23",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-03","9.62",",,W","0.38",",,X,2400","0.1",",,X",,,,,"47",",,X","34",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X","    1",",,X","    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-04","8.05",",,W","0.00",",,X,2400","0.0",",,X",,,,,"42",",,X","34",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
